,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
92789,0,0.842431514,40,0,0.709324915,4117.0,5,0,3,1,3.0
90124,0,0.147266422,67,0,0.249305063,18346.0,17,0,2,0,2.0
75808,0,0.0,50,0,2180.0,6670.22123739,12,0,1,0,3.0
101441,0,0.021329718,74,0,0.021610251,5228.0,30,0,0,0,0.0
74548,0,0.651719436,31,0,0.15819209,2300.0,5,0,0,0,0.0
99379,0,0.015174929,79,0,0.093720837,7500.0,14,0,1,0,0.0
21663,0,0.0,47,0,1924.0,6670.22123739,5,1,1,0,0.0
115448,0,0.0,25,0,0.0,3732.0,6,0,0,0,0.0
50569,0,0.59233062,35,0,0.569714743,3750.0,7,0,0,0,3.0
3841,0,0.756286457,61,0,3025.0,6670.22123739,9,0,2,0,1.0
114099,0,0.395700729,40,0,0.210629279,9200.0,11,0,0,0,3.0
97222,0,0.657212583,39,0,0.433913217,5000.0,16,1,1,0,0.0
128152,0,0.409867173,40,0,1714.0,6670.22123739,7,0,2,0,0.0
37910,0,0.9999999,53,0,0.279367792,2340.0,3,0,0,0,1.0
100284,0,0.082601599,67,1,0.350995866,2660.0,8,0,1,0,0.0
41547,0,0.050834087,41,0,0.007679386,8333.0,2,0,0,0,0.0
10996,0,0.304604362,77,0,0.415828596,2286.0,6,0,0,0,0.0
119030,0,0.0,59,0,8178.0,6670.22123739,9,0,2,0,0.0
24507,0,0.573919565,42,0,0.469155844,4927.0,7,0,1,0,3.0
67648,0,0.08499336,50,0,851.0,6670.22123739,4,0,1,0,2.0
139513,0,0.149700599,39,0,0.214932833,3200.0,2,0,0,0,1.0
3572,0,0.801448481,64,0,3259.0,6670.22123739,10,0,0,0,1.0
125644,0,0.822301351,44,0,0.852977926,2400.0,5,0,1,0,0.0
84002,0,0.94475761,47,1,0.620058453,6500.0,11,0,2,0,2.0
91218,0,0.703103861,61,0,1695.0,6670.22123739,10,0,0,0,0.0
27082,0,0.055071887,54,0,33.0,6670.22123739,4,0,0,0,1.0
2041,0,0.000808265,54,1,0.255594705,10500.0,19,0,1,0,0.0
37476,0,0.045746075,84,0,0.723664646,8742.0,12,0,2,0,0.0
100007,0,0.793856491,49,0,0.338644342,3702.0,6,0,0,0,2.0
74293,0,0.015849208,45,0,0.167005892,9334.0,5,0,1,0,1.0
62876,0,0.006325949,81,0,0.002915452,2400.0,6,1,0,0,0.0
128332,0,0.009999662,82,0,0.002352249,3400.0,5,0,0,0,0.0
74108,0,0.145258284,63,0,0.191011236,4983.0,9,0,0,0,0.0
106532,0,0.0,59,0,44.0,6670.22123739,6,0,0,0,0.0
2700,0,0.579427572,27,0,0.370253165,3475.0,17,0,0,0,0.0
124804,0,0.001902393,62,0,0.257164032,4047.0,5,0,1,0,0.0
57088,0,0.638336494,53,0,0.351293542,9817.0,12,0,1,0,2.0
64122,0,0.084739643,60,1,0.226163552,8400.0,12,0,1,0,0.0
93914,0,0.089960365,42,0,2248.0,6670.22123739,6,0,1,0,0.0
135771,0,0.001999943,34,0,0.491252822,3543.0,6,0,3,0,2.0
7649,0,0.0,61,0,0.098869265,10700.0,6,0,1,0,3.0
92627,0,0.593556582,67,0,1.389229281,3100.0,15,0,1,0,0.0
121005,0,0.022943389,47,0,2469.0,6670.22123739,9,0,1,0,0.0
4527,0,0.9999999,56,0,5548.0,6670.22123739,5,0,3,0,0.0
125910,0,0.717742406,40,0,0.387240121,6300.0,7,0,1,0,6.0
128314,0,0.559139785,48,1,1773.0,6670.22123739,8,0,1,0,0.0
54448,0,0.502667112,70,0,0.553155748,4166.0,11,0,2,0,0.0
63083,0,0.0,37,1,1.331516803,1100.0,7,0,1,0,1.0
125622,0,0.185517863,38,0,0.062979007,3000.0,7,0,0,0,0.0
111418,0,0.502228862,43,0,3299.0,6670.22123739,15,0,1,0,0.0
61914,0,0.056930751,58,0,0.238195756,9000.0,10,0,1,0,3.0
31744,0,0.806271745,44,0,0.239363091,7661.0,12,0,0,0,0.0
16233,0,0.072997192,32,1,2150.0,6670.22123739,4,0,1,0,0.757222267861
106174,0,0.001633279,75,0,0.000370645,2697.0,4,0,0,0,1.0
62779,0,0.593693317,44,0,0.318074191,3800.0,6,0,0,0,3.0
106798,0,0.109805211,36,0,0.323486209,6126.0,5,0,1,0,1.0
142905,0,0.241168519,83,0,0.357850809,3833.0,13,0,0,0,0.0
38735,0,0.027821893,70,0,0.003249188,4000.0,6,0,0,0,0.0
67327,0,0.274286446,42,0,0.267497728,7700.0,14,0,1,0,0.0
47486,0,0.135039316,41,0,0.033693489,7033.0,3,0,0,0,1.0
83651,0,0.056733358,44,0,0.600985222,7916.0,14,0,4,0,2.0
80644,0,0.080412615,54,0,0.276396161,4583.0,8,0,1,0,0.0
140509,0,0.316277255,32,6,0.333662975,5055.0,14,1,1,1,1.0
112371,0,0.015020214,76,0,767.0,6670.22123739,11,0,1,0,0.0
74681,0,0.0,83,0,0.0,3679.0,5,0,0,0,0.0
25843,0,0.057643046,59,0,0.159354901,10416.0,9,0,2,0,0.0
106104,0,0.764471058,30,0,0.341742028,2100.0,5,0,1,0,1.0
104901,0,0.258039136,38,1,0.060384263,7650.0,12,0,0,0,1.0
139270,0,0.9999999,26,0,0.706521739,735.0,3,0,0,0,0.0
71754,0,0.939066308,30,0,0.458058544,8642.0,5,0,2,0,0.0
57906,0,0.057018595,71,0,1484.0,6670.22123739,7,0,1,0,0.0
87698,0,0.1022856,59,4,0.254402624,11583.0,10,0,2,0,0.0
28997,0,0.005579306,71,0,0.007763975,3219.0,4,0,0,0,0.0
36343,0,0.008284925,76,0,2.0,6670.22123739,1,0,0,0,0.0
88854,0,0.159113635,62,0,0.13288219,3250.0,2,0,0,0,0.0
81434,0,0.344843677,42,2,0.331054545,13749.0,6,0,2,0,3.0
34917,0,0.083072923,41,0,1579.0,6670.22123739,3,0,1,0,2.0
49715,0,0.83908046,84,1,0.191312997,3015.0,5,0,0,0,0.0
93242,0,0.4995005,23,0,0.009085403,1650.0,2,0,0,1,0.0
4282,0,0.026665668,43,0,4895.0,6670.22123739,7,0,3,0,0.0
20339,0,0.090842005,40,0,179.0,6670.22123739,12,0,0,0,0.0
117591,0,0.014778499,66,0,25.0,6670.22123739,4,0,0,0,0.0
9101,0,0.003867049,47,0,0.099803292,9658.0,8,0,1,0,0.0
129697,0,0.050084048,84,0,0.049160671,833.0,7,0,0,0,0.0
84267,0,0.676226926,46,0,0.770627442,4350.0,12,0,1,0,3.0
129024,0,0.044718542,36,0,2119.0,6670.22123739,4,0,1,0,0.0
93120,0,0.305189219,51,0,0.396541787,8674.0,12,0,2,0,5.0
138678,0,0.274515032,54,0,938.0,0.0,3,0,1,0,1.0
47567,0,0.061176865,38,0,0.127687231,10000.0,13,0,0,0,0.0
120155,0,0.807641654,48,0,0.848715165,5525.0,24,0,2,0,4.0
122968,0,0.167044786,47,2,0.344331134,5000.0,12,0,1,1,2.0
111814,0,0.013951717,61,0,170.0,6670.22123739,6,0,1,0,0.757222267861
106647,0,0.040219243,49,0,0.27410004,7416.0,4,0,2,0,0.0
72202,0,0.0,39,0,99.0,6670.22123739,4,0,0,0,0.0
11747,0,0.033328692,71,0,0.0475,8399.0,8,0,1,0,0.0
129754,0,0.481738764,28,1,0.164011246,3200.0,5,0,0,0,0.0
95512,0,0.843026162,52,0,0.648785997,7083.0,7,0,3,0,0.0
79192,0,0.0,63,0,335.0,6670.22123739,5,0,1,0,0.0
106431,0,0.116254314,42,0,0.33196614,11458.0,6,0,2,0,1.0
80216,0,0.865992415,26,0,0.258122099,2800.0,12,0,0,0,2.0
11551,0,0.0,73,0,0.0,3440.0,5,0,0,0,0.0
141580,0,0.00521724,64,0,0.000495491,10090.0,2,0,0,0,0.0
59739,0,0.738983518,59,0,0.581154006,2408.0,6,0,1,0,1.0
144904,0,0.058798977,47,1,0.236373305,3760.0,11,0,1,0,1.0
44116,0,0.074689966,53,0,0.201820377,10766.0,8,0,1,0,2.0
41563,0,0.9999999,40,3,0.34824345,15000.0,8,0,3,0,2.0
51445,0,0.9999999,32,0,0.703895209,2900.0,6,0,1,0,2.0
33595,0,0.001234025,78,0,0.000476145,10500.0,13,0,0,0,0.0
59073,0,0.279799701,35,0,0.330762639,3500.0,8,0,0,0,1.0
32698,0,0.318878916,63,0,0.885760257,8700.0,9,0,3,0,1.0
25437,0,0.096046891,59,0,2077.0,6670.22123739,13,0,1,0,1.0
122213,0,0.024263432,27,0,0.065255732,1700.0,4,0,0,0,0.0
112312,0,0.155526431,47,0,0.198758932,5317.0,11,0,1,0,3.0
130479,0,0.665924276,71,0,0.622984627,5333.0,13,0,1,0,0.0
32870,0,0.256467942,47,1,61.0,6670.22123739,4,0,0,0,0.0
15214,0,0.9999999,50,0,0.241507499,7800.0,3,0,2,0,2.0
81843,0,0.021146304,54,0,0.260972716,5900.0,8,0,2,0,2.0
104555,0,0.058056214,45,0,0.639072186,5000.0,7,0,1,0,3.0
69661,0,0.439381952,53,0,0.809485745,3752.0,16,0,1,0,1.0
27269,0,0.609491578,46,0,0.289060268,3500.0,12,0,1,0,1.0
51638,0,0.9999999,29,0,0.362273579,1600.0,4,0,0,0,3.0
109554,0,0.505679726,40,1,0.366623592,5416.0,13,0,2,1,3.0
59273,0,0.0,67,0,0.003498251,2000.0,6,0,0,0,0.0
57288,0,0.0,57,0,903.0,6670.22123739,8,0,1,0,0.0
58257,0,0.36959729,38,0,0.460005693,3512.0,13,0,1,0,1.0
16915,0,0.158001419,45,0,0.318383088,7000.0,8,0,1,0,0.0
90840,0,0.9999999,45,3,0.089255578,10665.0,2,4,1,0,1.0
80484,0,0.032525935,72,0,0.230713422,8269.0,7,0,2,0,0.0
95859,0,0.413662717,27,0,0.208964264,3301.0,6,0,0,0,1.0
145513,0,0.240715893,60,0,0.400098345,6100.0,11,0,1,0,0.0
149133,0,0.033079559,58,0,0.014928425,4889.0,5,0,0,0,0.0
11715,0,0.881752288,41,0,2878.0,6670.22123739,7,0,1,0,2.0
84574,0,0.129476584,76,1,0.010462683,4300.0,7,0,0,0,0.0
86679,0,0.9999999,51,0,0.032614413,1900.0,1,0,0,0,0.0
44701,0,0.994361114,51,0,0.628670666,3166.0,8,0,0,0,0.0
37275,0,0.9999999,27,0,0.070185963,5000.0,1,1,0,0,0.0
64216,0,0.0,23,0,0.249772934,1100.0,3,0,0,0,0.0
50635,0,0.108815709,66,0,0.203994294,700.0,13,0,0,0,0.0
18066,0,0.081695387,60,0,0.333757499,5500.0,18,0,1,0,0.0
23440,0,0.041646063,67,0,0.0059985,4000.0,13,0,0,0,0.0
92277,0,0.107422314,79,0,0.027228249,4700.0,3,0,0,0,0.0
67984,0,0.010666272,67,0,0.002923977,2735.0,2,0,0,0,0.0
84633,0,0.019107129,41,1,0.704650152,11504.0,16,0,6,0,3.0
15222,0,0.177980224,40,1,0.439712058,5000.0,8,0,2,0,2.0
41917,0,1.039488672,31,0,0.386522695,5000.0,5,0,2,0,0.0
43156,0,0.232959224,62,0,0.257298031,7364.0,5,0,1,0,0.0
147483,0,0.390592317,32,0,0.233529727,5600.0,11,0,0,1,4.0
39189,0,0.671554741,27,0,0.055956158,3466.0,4,0,0,0,0.0
75458,0,0.024634137,39,0,0.386762936,4154.0,6,0,2,0,0.0
131578,0,0.28662653,75,0,0.210478128,9829.0,12,0,1,0,0.0
83940,0,0.335958894,42,0,0.353066477,11266.0,10,0,3,0,4.0
118341,0,0.9999999,46,0,3094.0,6670.22123739,7,0,1,0,0.0
71501,0,0.097154181,87,0,0.098987627,8000.0,8,0,0,0,0.0
65203,0,0.62702137,53,0,0.780414772,9016.0,15,0,2,0,1.0
13267,0,0.287429673,57,0,0.168176577,6070.0,4,0,0,0,0.0
100979,0,0.223976424,64,0,0.391277181,8001.0,6,0,2,0,0.0
102276,0,0.636974929,60,0,0.983002833,6000.0,18,0,1,0,0.0
64690,0,0.038256862,67,0,0.374840938,5500.0,12,0,2,0,0.0
141918,0,0.061019214,68,0,0.425154639,4849.0,22,0,3,0,0.0
2590,0,0.026572577,78,0,0.440578903,3592.0,31,0,2,0,0.0
72348,0,0.352786266,53,0,0.152384762,10000.0,6,0,2,0,0.0
22302,0,1.02994012,52,1,6714.0,6670.22123739,8,0,1,0,0.0
112964,0,0.18339113,42,2,0.533733133,2000.0,9,0,0,1,0.0
110063,0,0.0,63,0,0.238940885,12500.0,13,0,3,0,0.0
56733,0,0.025109716,72,0,1178.0,6670.22123739,3,0,1,0,0.0
17161,0,0.011392143,64,0,0.097144382,3746.0,4,0,1,0,0.0
126722,0,0.038077842,30,0,0.273645399,6237.0,8,0,1,0,1.0
128886,0,0.744313507,40,0,0.640474277,4975.0,8,0,1,0,0.0
3032,0,0.288317832,68,0,0.084604033,2032.0,8,0,0,0,0.0
121921,0,0.038671497,48,1,2815.0,6670.22123739,23,0,2,0,3.0
79908,0,0.035872758,69,0,0.006797281,2500.0,1,0,0,0,0.0
114141,0,0.0,63,0,0.0,1920.0,2,0,0,0,0.0
139933,0,0.798235124,53,0,0.702122528,8291.0,6,0,2,0,2.0
131001,0,0.416664358,46,0,0.660667866,5000.0,9,0,1,0,1.0
53424,0,0.015974542,49,0,0.037468776,1200.0,11,0,0,0,0.0
104439,0,0.280696909,46,0,1102.0,6670.22123739,13,0,2,0,0.0
146549,0,0.576462457,62,0,0.343435331,10228.0,11,0,1,0,0.0
101269,0,0.852022766,55,0,0.08329367,2100.0,3,0,0,0,0.0
77480,0,0.204992116,62,0,165.0,6670.22123739,4,0,0,0,0.0
114557,0,0.660261973,36,0,0.153036522,9500.0,6,0,0,0,0.0
119905,0,0.951087409,51,0,0.182651191,4910.0,2,0,1,0,1.0
90253,0,0.820882731,44,0,0.023942094,7183.0,1,0,0,0,0.0
143467,0,0.134331974,56,0,1645.0,6670.22123739,9,0,2,0,0.0
25570,0,0.039720016,61,0,7546.0,6670.22123739,8,0,7,0,0.0
81191,0,0.00719982,76,0,0.16318408,3014.0,5,0,2,0,0.0
117663,0,0.00282184,46,0,4015.0,6670.22123739,5,0,1,0,0.0
115046,0,0.188026622,41,1,0.261375478,5757.0,9,0,1,0,1.0
101647,0,0.320857601,58,0,0.330218439,16800.0,13,0,3,0,1.0
55391,0,0.230294951,40,0,1739.0,6670.22123739,2,0,1,0,0.0
11767,0,0.335924121,36,0,0.407899734,5265.0,6,0,1,0,0.0
23816,0,0.011352273,47,0,0.477299459,4250.0,4,0,1,0,0.0
128704,0,0.000163693,54,2,8636.0,6670.22123739,17,0,8,0,0.0
146348,0,0.227237413,40,0,0.434094318,6000.0,7,0,2,0,1.0
6470,0,0.045020073,63,0,5356.0,6670.22123739,15,0,3,0,4.0
123872,0,0.344952351,43,2,0.464053595,10000.0,9,0,2,0,1.0
3446,0,0.291791196,61,0,0.748556344,6060.0,6,0,2,0,0.0
53542,0,0.064253115,84,0,0.00719856,5000.0,7,0,0,0,0.0
119442,0,0.039346115,62,0,0.094951923,2495.0,12,0,0,0,0.0
76401,0,0.002342723,37,0,0.000266596,3750.0,2,0,0,0,0.0
26886,0,0.247975202,53,1,0.399868895,3050.0,10,0,1,0,0.0
37994,0,0.516848837,74,0,0.501585384,6622.0,11,0,4,0,1.0
77697,0,0.003554003,30,0,0.683005482,3100.0,7,0,0,0,0.0
9533,0,0.750071424,48,3,0.478586902,6000.0,8,0,1,0,0.0
15877,0,0.120492285,74,0,0.16597625,14483.0,18,0,1,0,1.0
83268,0,0.155939706,44,0,0.304157397,14383.0,20,0,3,0,1.0
32512,0,0.010840032,76,0,0.0029994,5000.0,7,0,0,0,0.0
50973,0,0.079818675,75,0,70.0,6670.22123739,7,0,0,0,0.0
136064,0,0.012089616,87,0,0.00416551,3600.0,4,0,0,0,0.0
71091,0,0.0,63,0,2958.0,6670.22123739,13,0,2,0,0.757222267861
47391,0,0.0,69,0,0.0,6670.22123739,3,0,0,0,0.757222267861
55441,0,0.017119956,64,0,0.095854161,3400.0,7,0,1,0,0.0
48814,0,0.222574752,63,0,2506.0,6670.22123739,7,0,2,0,0.0
128567,0,0.0,36,0,0.28449724,8333.0,15,0,1,0,1.0
24859,0,0.136301681,51,1,0.205296975,6380.0,4,1,2,0,2.0
21111,0,0.023377647,74,0,0.248968363,1453.0,11,0,1,0,0.0
137313,0,0.013589427,72,0,0.002603319,6145.0,12,0,0,0,0.0
137614,0,0.289707521,59,2,1.015733626,5465.0,12,0,1,0,0.0
109010,0,0.9999999,33,0,0.281593724,13000.0,11,0,1,1,2.0
130952,0,0.9999999,27,0,0.338028169,567.0,1,1,0,0,0.0
94322,0,0.951512122,28,0,0.400956938,1044.0,5,0,0,0,0.0
81259,0,0.093512619,43,0,0.34816319,16250.0,5,0,2,0,0.0
129858,0,0.164675445,44,0,0.341393207,5210.0,11,0,1,0,0.0
23406,0,0.180297567,44,0,934.0,6670.22123739,7,0,1,0,0.0
33813,0,1.018178513,76,2,0.321163166,3094.0,7,0,0,0,0.0
53725,0,0.0,40,0,0.329934013,5000.0,9,0,1,0,1.0
81672,0,0.683723322,62,0,0.453891526,6950.0,6,0,1,0,0.0
144274,0,0.001194893,63,0,0.440812113,2905.0,8,0,0,0,0.0
67691,0,0.9999999,79,0,0.0,6670.22123739,2,0,0,0,0.757222267861
106860,0,0.157905,58,0,0.36837053,4166.0,15,0,1,0,0.0
28846,0,0.005491336,68,0,0.438518188,4480.0,9,1,1,0,0.0
99714,0,0.424557951,52,0,0.169929196,2400.0,9,0,0,0,0.0
63903,0,0.004603108,74,0,0.398224477,4730.0,6,0,1,0,0.0
46824,0,0.079808034,48,0,0.496412187,8500.0,12,0,2,0,1.0
15153,0,0.091128763,62,0,0.460883664,7400.0,10,0,1,0,0.0
864,0,0.059356682,32,0,4121.0,6670.22123739,10,0,1,0,0.0
107425,0,0.021561152,38,0,0.24175165,5000.0,5,0,1,0,1.0
148837,0,0.000579682,58,0,0.0,6670.22123739,5,0,0,0,0.0
102889,0,0.005534999,40,0,0.816245487,2769.0,3,0,1,0,0.0
76444,0,0.039405757,38,0,0.609254499,3500.0,15,0,2,0,2.0
144101,0,0.455211469,40,0,0.535391668,7416.0,9,0,3,0,2.0
8645,0,0.335402692,38,0,0.129338902,6942.0,3,0,0,0,3.0
81144,0,0.145783993,39,2,0.348405733,9000.0,11,0,1,0,1.0
122992,0,0.015173547,58,0,0.393294476,18700.0,15,0,5,0,0.0
113818,0,0.009019937,67,0,883.0,6670.22123739,7,0,1,0,0.0
27396,0,0.019836766,32,0,369.0,6670.22123739,6,0,0,0,0.0
78882,0,0.330403556,50,0,1.048264531,4868.0,11,0,4,0,1.0
51049,0,0.711837039,30,0,0.766155896,1500.0,8,0,2,0,0.0
43324,0,0.037571646,62,0,0.253582139,3000.0,28,0,1,0,2.0
14259,0,0.254489728,52,0,0.328301019,13048.0,14,0,1,0,2.0
9194,0,0.061946799,45,1,0.404319136,5000.0,15,0,1,0,0.0
8584,0,0.229061452,59,1,0.421879463,3500.0,20,0,1,0,0.0
17470,0,0.00243733,60,0,0.202639868,6666.0,10,0,1,0,0.0
50004,0,0.28248525,49,0,0.416866861,7908.0,16,0,2,0,0.0
28123,0,0.011693639,41,0,0.459660736,4833.0,11,0,1,0,0.0
136863,0,0.758324074,28,0,0.174117647,4674.0,6,0,0,0,0.0
115079,0,0.497812773,27,1,0.571942446,833.0,11,0,0,0,0.0
84578,0,0.020622124,57,0,0.250032675,7650.0,5,0,1,0,0.0
5703,0,0.508427769,27,0,1.398294762,820.0,7,0,0,0,0.0
1282,0,0.147775796,33,0,430.0,6670.22123739,8,0,0,0,0.0
54208,0,0.912017596,29,1,513.0,6670.22123739,4,0,0,2,0.0
42397,0,0.230381288,54,0,0.327534493,3333.0,5,0,0,0,2.0
120757,0,0.043390361,76,0,0.013111111,4499.0,6,0,0,0,1.0
140465,0,0.400509045,52,0,0.339422408,5747.0,5,0,1,0,0.0
22247,0,0.102445232,68,0,0.274105127,3100.0,9,0,1,0,0.0
25472,0,0.090864284,49,1,0.431960685,5900.0,12,0,1,0,1.0
68698,0,0.005587124,37,0,0.094984169,6000.0,9,0,0,0,3.0
136530,0,0.218274257,36,0,0.790417098,2900.0,7,0,2,0,0.0
40799,0,0.003210396,84,0,6.0,6670.22123739,5,0,0,0,0.0
111653,0,0.00938066,41,0,0.101554566,12800.0,10,0,2,0,2.0
124510,0,0.9999999,48,0,3281.0,6670.22123739,4,0,1,0,0.0
6541,0,0.079563583,52,0,0.428183701,14000.0,12,0,2,0,2.0
81104,0,1.00239984,35,0,0.73519401,4406.0,6,0,2,0,0.0
83494,0,0.151372971,63,0,0.249038609,6500.0,7,0,2,0,0.0
57372,0,0.027198912,77,0,29.0,6670.22123739,7,0,0,0,0.0
8858,0,0.011572498,33,0,0.178455386,4000.0,5,0,1,0,0.0
17302,0,0.006586979,61,0,0.666488936,3750.0,20,0,2,0,0.0
22549,0,0.768846231,26,0,0.059781488,4850.0,2,0,0,0,1.0
67427,0,0.01875693,47,0,5969.0,6670.22123739,12,0,2,0,0.0
75824,0,0.041787073,63,0,0.364034448,6850.0,14,0,1,0,0.0
61824,0,0.054684546,63,0,4118.0,6670.22123739,16,0,2,0,1.0
123346,0,0.000866416,66,0,0.005269762,7969.0,5,0,0,0,0.0
132260,0,0.008628336,73,0,3.0,6670.22123739,1,0,0,0,0.0
19465,0,0.014209378,77,0,0.196056651,3600.0,13,0,1,0,0.0
139359,0,0.006181567,69,0,0.083504852,3400.0,10,1,0,0,0.0
126929,0,0.010117219,40,0,0.189453414,6750.0,4,0,1,0,0.0
9668,0,0.054870967,59,0,1324.0,6670.22123739,8,0,1,0,0.757222267861
1037,0,0.391214634,39,1,0.287181335,11100.0,8,0,2,0,2.0
141698,0,0.0,39,0,0.267651131,4333.0,11,0,0,0,1.0
126343,0,0.479483769,58,0,0.317718606,6083.0,9,0,2,0,0.0
77268,0,0.148113259,67,0,0.583844832,4072.0,16,0,2,0,0.0
28751,0,0.011889543,51,0,0.079124958,35563.0,15,0,1,0,3.0
37325,0,0.005020671,61,0,0.004343383,3913.0,13,0,0,0,1.0
9639,0,0.073750748,61,0,0.029794041,5000.0,8,0,0,0,0.0
37244,0,0.485840081,41,0,0.476523768,3428.0,8,0,1,0,1.0
72444,0,0.021693077,60,0,946.0,6670.22123739,8,0,0,0,0.0
123533,0,0.434103279,46,0,0.336582927,8000.0,8,0,1,0,1.0
9210,0,0.122192206,66,0,0.446947035,5682.0,13,0,2,0,1.0
37104,0,0.292727933,48,0,0.251384183,12100.0,13,0,2,0,0.0
104666,0,0.106370614,58,0,0.295805944,10800.0,15,0,2,0,0.0
130298,0,0.024162279,75,0,0.006293965,2700.0,10,0,0,0,0.0
57231,0,0.458181594,42,0,2185.0,6670.22123739,6,0,2,0,3.0
45203,0,0.07939789,67,0,807.0,6670.22123739,7,0,0,0,0.0
108217,0,0.459041231,41,0,0.468480573,8930.0,5,0,1,0,2.0
58230,0,0.011701879,54,0,0.216166737,7100.0,7,0,1,0,0.0
2998,0,0.246641902,45,0,3175.0,6670.22123739,9,0,2,0,0.0
2946,0,0.139647929,45,2,0.381269788,6000.0,11,0,1,0,3.0
145725,0,0.005255048,56,0,0.263122813,6000.0,14,0,1,0,0.0
148112,0,0.18354338,32,0,0.014673419,7700.0,11,0,0,0,0.0
45290,0,0.165380615,44,1,0.443953086,5200.0,14,0,1,0,0.0
42620,0,0.880158455,54,0,0.561485246,7082.0,11,0,2,0,2.0
69716,0,0.182199643,46,0,0.302671047,7000.0,11,0,2,0,2.0
73560,0,0.798334064,31,1,0.475724919,9000.0,11,2,3,1,0.0
17729,0,0.377035133,37,1,0.017992803,2500.0,4,0,0,0,2.0
76053,0,0.736260667,68,0,0.500834082,7792.0,10,0,2,0,0.0
63938,0,0.304710654,65,0,0.219307097,2972.0,6,0,0,0,0.0
64809,0,0.263735638,36,1,0.429802553,9166.0,15,0,2,0,1.0
77826,0,0.690524754,42,0,0.119888011,10000.0,5,0,0,0,2.0
79755,0,0.133921643,56,0,594.0,6670.22123739,6,0,0,0,0.0
23169,0,0.0,57,0,1613.0,6670.22123739,10,0,1,0,0.0
109022,0,0.343239713,66,0,0.404438406,4415.0,9,0,0,0,0.0
9917,0,0.000357135,73,0,0.29086502,6600.0,7,0,1,0,0.0
106713,0,0.023548922,70,0,0.076468908,10500.0,13,0,1,0,0.0
79967,0,0.981316404,68,0,3462.0,6670.22123739,11,0,2,0,1.0
132997,0,0.9999999,34,0,1.422310757,250.0,2,0,0,0,4.0
105483,0,0.496768687,33,1,1627.0,6670.22123739,7,0,2,0,4.0
75332,0,0.0,58,0,0.129961776,3400.0,5,0,1,0,0.0
55935,0,0.110068801,33,0,0.428015564,3083.0,15,0,1,0,1.0
33807,0,0.168635585,77,0,1.420362274,1600.0,19,0,1,0,0.0
148160,0,0.028339741,61,0,0.291854073,2000.0,9,0,1,0,0.0
11268,0,0.666278227,73,0,0.240515933,2635.0,3,0,0,0,0.0
120783,0,0.0,65,0,0.430050438,3766.0,20,0,2,1,0.0
89444,0,0.933310441,34,0,0.388099902,4083.0,6,0,0,0,0.0
10648,0,0.396268325,45,0,0.348198699,6300.0,4,0,1,0,4.0
55012,0,0.001810881,38,1,0.447856686,3125.0,4,0,1,0,0.0
51003,0,0.0,49,0,2140.0,6670.22123739,6,0,2,0,0.0
55304,0,0.031605033,33,0,54.0,6670.22123739,4,0,0,0,0.0
74442,0,0.091487716,65,0,0.328281234,9500.0,7,0,2,0,1.0
66563,0,0.392669645,77,0,0.23356263,6250.0,6,0,0,0,0.0
72660,0,0.112753369,67,0,0.626330895,10800.0,16,0,4,0,0.0
49536,0,0.075536814,62,0,0.087032528,16016.0,6,0,1,0,0.0
54380,0,0.011345289,60,0,1168.0,6670.22123739,10,0,1,0,1.0
136779,0,0.9999999,22,0,0.096423017,4500.0,2,0,0,0,0.0
50978,0,0.900316578,55,1,0.288305045,4300.0,14,0,0,0,0.0
80944,0,0.067413858,58,0,0.087549228,3300.0,6,0,0,0,0.0
81314,0,0.138748691,28,0,0.117606124,2873.0,3,0,0,0,0.0
21221,0,0.0,59,0,0.0,5416.0,4,0,0,0,0.0
100970,0,0.0,88,0,150.0,6670.22123739,4,0,0,0,0.0
106701,0,0.19474519,45,0,1364.0,6670.22123739,4,0,1,0,0.0
16702,0,0.031457023,66,0,0.052631579,1500.0,5,0,1,0,0.0
96803,0,0.010744674,45,0,0.256572029,950.0,4,0,0,0,2.0
32434,0,0.186997123,66,0,0.26908049,7677.0,4,0,1,0,0.0
125636,0,0.638097279,46,0,3280.0,6670.22123739,13,0,2,0,0.0
43541,0,0.9999999,34,0,4665.0,6670.22123739,4,0,1,0,2.0
62313,0,0.213740762,64,1,0.983183183,1664.0,9,0,1,0,0.0
6443,0,0.024927135,64,0,0.181569391,19000.0,11,0,2,0,0.0
96247,0,0.005136793,52,0,43.0,6670.22123739,2,0,0,0,0.0
110020,0,0.589009486,56,0,0.217963172,2660.0,6,0,0,0,0.0
116690,0,0.171089654,51,0,0.661239749,8291.0,14,0,2,0,1.0
49597,0,0.027147781,69,0,0.152552553,3329.0,6,0,0,0,0.0
127780,0,0.988445178,43,0,2069.0,1.0,10,0,2,0,2.0
1191,0,0.027130865,43,0,0.256738293,8050.0,6,0,1,0,1.0
44429,0,0.791840983,48,1,6103.0,6670.22123739,7,0,1,0,0.0
33539,0,0.0,62,0,168.0,6670.22123739,4,1,0,0,0.0
110419,0,0.124460725,61,0,0.257115043,17462.0,15,0,1,0,1.0
